player,innings_batted,runs,balls_faced,dismissals,batting_avg,strike_rate,highest_score,fifties,hundreds,innings_bowled,balls_bowled,runs_conceded,wickets,economy,bowling_avg
WA Mota,8.0,56.0,76.0,6.0,9.33,73.68,25.0,0.0,0.0,7.0,75.0,97.0,4.0,7.76,24.25
WD Parnell,13.0,65.0,86.0,10.0,6.5,75.58,16.0,0.0,0.0,33.0,758.0,937.0,35.0,7.42,26.77
WG Jacks,26.0,602.0,385.0,22.0,27.36,156.36,100.0,2.0,1.0,19.0,203.0,314.0,10.0,9.28,31.4
WP Saha,143.0,2934.0,2368.0,121.0,24.25,123.9,115.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WPUJC Vaas,11.0,81.0,73.0,8.0,10.12,110.96,20.0,0.0,0.0,13.0,288.0,355.0,18.0,7.4,19.72
Washington Sundar,59.0,888.0,689.0,43.0,20.65,128.88,55.0,3.0,0.0,68.0,1186.0,1520.0,40.0,7.69,38.0
X Thalaivan Sargunam,1.0,10.0,17.0,1.0,10.0,58.82,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XC Bartlett,4.0,40.0,29.0,2.0,20.0,137.93,18.0,0.0,0.0,13.0,269.0,484.0,7.0,10.8,69.14
Y Gnaneswara Rao,1.0,19.0,18.0,1.0,19.0,105.56,19.0,0.0,0.0,1.0,6.0,7.0,0.0,7.0,0.0
Y Nagar,20.0,285.0,271.0,14.0,20.36,105.17,44.0,0.0,0.0,8.0,72.0,125.0,4.0,10.42,31.25
Y Prithvi Raj,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,57.0,1.0,10.36,57.0
Y Venugopal Rao,52.0,985.0,865.0,44.0,22.39,113.87,71.0,3.0,0.0,20.0,222.0,337.0,6.0,9.11,56.17
YA Abdulla,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,222.0,307.0,15.0,8.3,20.47
YBK Jaiswal,82.0,2593.0,1750.0,78.0,33.24,148.17,124.0,18.0,2.0,1.0,1.0,6.0,0.0,36.0,0.0
YK Pathan,153.0,3222.0,2334.0,110.0,29.29,138.05,100.0,14.0,1.0,82.0,1184.0,1415.0,42.0,7.17,33.69
YS Chahal,17.0,37.0,89.0,7.0,5.29,41.57,8.0,0.0,0.0,184.0,4167.0,5417.0,233.0,7.8,23.25
YV Dhull,3.0,16.0,23.0,3.0,5.33,69.57,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YV Takawale,10.0,192.0,183.0,8.0,24.0,104.92,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yash Dayal,4.0,4.0,9.0,3.0,1.33,44.44,3.0,0.0,0.0,43.0,920.0,1390.0,41.0,9.07,33.9
Yash Raj Punja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,186.0,279.0,9.0,9.0,31.0
Yash Thakur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,501.0,825.0,27.0,9.88,30.56
Yashpal Singh,4.0,47.0,67.0,4.0,11.75,70.15,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Younis Khan,1.0,3.0,7.0,1.0,3.0,42.86,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yudhvir Singh,4.0,22.0,16.0,4.0,5.5,137.5,14.0,0.0,0.0,9.0,145.0,253.0,8.0,10.47,31.62
Yuvraj Singh,126.0,2754.0,2207.0,111.0,24.81,124.78,83.0,13.0,0.0,73.0,882.0,1077.0,36.0,7.33,29.92
Z Khan,27.0,117.0,141.0,14.0,8.36,82.98,23.0,0.0,0.0,99.0,2276.0,2782.0,102.0,7.33,27.27
Zeeshan Ansari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,209.0,333.0,6.0,9.56,55.5
